party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
17,2,0.40476190476190477,0.4,0.0,0.0,1,-2.5,3,3,1.0,1_1/8_0,470.0,4,26
5,0,0.11904761904761904,0.0,2.0,0.4,1,-2.5,4,4,1.0,1/4_1/8_1/8_1/2,400.0,6,39
16,0,0.38095238095238093,0.0,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,17
10,0,0.23809523809523808,0.0,0.0,0.0,1,-6.0,4,4,1.0,1_1/8_0_0,490.0,5,32
23,4,0.5476190476190477,0.8,0.0,0.0,1,-6.0,3,3,1.0,1_0_0,440.0,3,19
30,4,0.7142857142857143,0.8,0.0,0.0,1,-6.0,3,3,1.0,1_0_0,440.0,2,13
7,0,0.16666666666666666,0.0,0.0,0.0,1,-9.5,3,3,1.0,1/8_1_0,470.0,4,25
-1,1,-0.023809523809523808,0.2,1.0,0.2,0,61.0,1,2,0.5,1/2_1,450.0,4,22
8,0,0.19047619047619047,0.0,1.0,0.2,1,-2.5,4,4,1.0,1/2_1/2_1/8_0,470.0,4,29
12,0,0.2857142857142857,0.0,0.0,0.0,1,-9.0,2,2,1.0,1_1/2,450.0,5,27
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,16.0,0,1,0.0,2,450.0,3,15
22,1,0.5238095238095238,0.2,0.0,0.0,1,-2.5,3,3,1.0,0_1/8_1,470.0,3,18
7,0,0.16666666666666666,0.0,0.0,0.0,1,-12.5,4,4,1.0,0_1/4_1/2_1/4,420.0,6,45
12,0,0.2857142857142857,0.0,0.0,0.0,1,-2.5,3,3,1.0,1/2_1/2_0,420.0,5,32
-2,0,-0.047619047619047616,0.0,2.0,0.4,0,67.5,1,4,0.25,1/8_1/2_1/8_1/4,400.0,4,31
0,0,0.0,0.0,4.0,0.8,0,36.0,3,6,0.5,1/2_0_1/4_0_1/8_0,410.0,4,35
17,0,0.40476190476190477,0.0,0.0,0.0,1,-6.0,3,3,1.0,1/2_1/8_1/2,450.0,4,26
12,0,0.2857142857142857,0.0,0.0,0.0,1,-2.5,3,3,1.0,0_1/2_1/2,420.0,4,27
0,0,0.0,0.0,2.0,0.4,0,82.0,1,6,0.16666666666666666,1/4_1/2_1/4_1/8_0_0,490.0,4,35
-2,1,-0.047619047619047616,0.2,1.0,0.2,0,15.5,1,2,0.5,1_1/4,375.0,5,29
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,30.0,0,1,0.0,2,450.0,3,13
